System,Stage,Amplitude,NoiseStd,Replicate,PhaseSeed,NoiseSeed,SHA256
1,clean_calibration,1.3,0,2,326092302,326192302,4b09be39e758c85463bd290d9ab6778769bfd483f3a5d46dbd9deea944e5cb7b
1,clean_calibration,1.3,0,3,326092303,326192303,20698a26e60ee4cb275427a924b515b6fbb4e41a995ccbace429dabbba3050e3
1,clean_calibration,1.3,0,4,326092304,326192304,c18e696a4fc973cdd910e83eb09ac73b0622fc143b3efb5c91188f71d20ff7dd
1,clean_calibration,1.3,0,5,326092305,326192305,9db54079d653877d33da76cba347429571afa39bc21d0dd504176ac888f901a5
1,clean_calibration,1.3,0,6,326092306,326192306,995a438d9c671c275e0d0ced0582b1b0ed398427de2f1acad460ab58d6b5b544
1,clean_calibration,1.3,0,7,326092307,326192307,603659a2dcf73fe40d561208b0ebe3694ddcb36f954af99e4e7990b38438c3ec
1,clean_calibration,1.3,0,8,326092308,326192308,b1cec539bfad91ab8898d8dc24ac1d3b35e2ffc05baec6e11310d020b2f29b52
1,clean_calibration,1.3,0,9,326092309,326192309,637c02900912c11e1d2e1d785f02bfea492354c7879f8a89d08700b22714dbc2
1,clean_calibration,1.3,0,10,326092310,326192310,294473ad36dce48cdd621379c30f0e18e58cf542f4f03d8b570609d1654a8016
1,clean_calibration,1.3,0,11,326092311,326192311,e7e427643cdc26f41c4d2157e07c49bdecb66d5ddcd336e959621c792dcb6542
1,clean_calibration,1.3,0,12,326092312,326192312,7e823a66efeab6c48ec6079190666cc25dcdb2fdcefafea146e8cfe1bb9797ac
1,clean_calibration,1.3,0,13,326092313,326192313,d3669c9c0999eb56919c75d8ee8ff4ef99c36c5bc4cc106e1a12d96753ed8400
1,clean_calibration,1.3,0,14,326092314,326192314,01c711de3ec91c32a69850b61372048eb47113be0b1ef53fa578c0b76aa69c6b
1,clean_calibration,1.3,0,15,326092315,326192315,4c010be1f4d087cfc026238ce86fb275a6370b00e217e26df6481f92df42dad2
1,clean_calibration,1.3,0,16,326092316,326192316,4bc3af3a36c886d3cb93893b8498493aff24cdf18a7c17b5b48174bde35bd475
1,clean_calibration,1.3,0,17,326092317,326192317,4b166557f6a59f6e5b490d7ba786d942866c26212b2ccc6e6b05b649436fd1d3
1,clean_calibration,1.3,0,18,326092318,326192318,ea9ec5d79b8308ac45997ff2893a2e6e96332164f1de96935fd50f5299083589
1,clean_calibration,1.3,0,19,326092319,326192319,6676a0e3e37b7b017588b9fc1426200493350f75532a9cb40c07766b3e612fe9
1,clean_calibration,1.3,0,20,326092320,326192320,a1e0e091ede14e647598ecaece2b4c0c0f93696fe45a3080211a0615b9c6ab11
1,confirmation,1.0,0.005,1,426092301,426192301,0149586e270eef53fd59a1977ba734761efb6b2b5705db12b303de854e898ec3
1,confirmation,1.0,0.01,1,426092301,426192301,c22be9af0f66d09a171ae7d76e850179b1b0f77d93df342e9a8dcc96d4735532
1,confirmation,1.0,0.02,1,426092301,426192301,5834ea5680403e25f52350c5a9f4c9dad1b509eeaf27ca3a4fedf8e3a7c6a5df
1,confirmation,1.0,0.005,2,426092302,426192302,24897f91341646207dd460e277aca01952efde6299f4c3c3f6797e6c1b9d4822
1,confirmation,1.0,0.01,2,426092302,426192302,b10565fe41ea1bf89e685347b2c7b238cba38860fb4d0ebee88f6665275ea013
1,confirmation,1.0,0.02,2,426092302,426192302,5f52268bc15aa05f8bdd4727a23c15906b4c0b82826224e6771ac67fc09493ad
1,confirmation,1.0,0.005,3,426092303,426192303,6a0d1ed25db0351fb1578f49aa25370bcc5aae73584793c82e97305c377cdda7
1,confirmation,1.0,0.01,3,426092303,426192303,685241990946eb5f6160d1fa866b1e56b626442ea3e69c6f7798df4ffacf98ce
1,confirmation,1.0,0.02,3,426092303,426192303,8fc4488eb34fea7399b1c309e728eb0cf455bcaa17a9a57777c94e7b3282e409
1,confirmation,1.0,0.005,4,426092304,426192304,1a945b326d4399ad276d3ade6effa791fe46338fcecbfb2cdebd0902d490b300
1,confirmation,1.0,0.01,4,426092304,426192304,92efa489f216c95114d16ebe5843a12e5a6438051f5e2879f81f5b33483516a1
1,confirmation,1.0,0.02,4,426092304,426192304,8f468696c71a176104a5c1dcb813059a3d2c5b17a11035257a83a072908bb289
1,confirmation,1.0,0.005,5,426092305,426192305,db5b15c2264fa2356531894b6d929441278b2b19f923ac155a5f8f1bb44b5842
1,confirmation,1.0,0.01,5,426092305,426192305,628026b19b42dfc7dba4b231c059a2e2cde565b169f5f64aa2b28257de0a5cdc
1,confirmation,1.0,0.02,5,426092305,426192305,6e444a27ae5cbacfc3d07eb304583e0e0bb5565a7713625f5894f6b888b3a6d7
1,confirmation,1.0,0.005,6,426092306,426192306,8f93fafd61583cbc382a376c947ab67eb397263a1e28cbb41e81795b0b9b32d3
1,confirmation,1.0,0.01,6,426092306,426192306,e23092b48b5c9b7c27c55e06009cb934fe00d46a96b84a285e2f9c1b695ea535
1,confirmation,1.0,0.02,6,426092306,426192306,628c107931c457bfbc6576808ffac94d10446d390dbf64b9c83027f5794dedb1
1,confirmation,1.0,0.005,7,426092307,426192307,74f5938e7eaee45bd333c7c461b72563105a4ed6bbcd1d8069e8329e537f3061
1,confirmation,1.0,0.01,7,426092307,426192307,90b99dae55189c1aa416cea49697947fd20584e65be039c23933325ef3fbfafd
1,confirmation,1.0,0.02,7,426092307,426192307,1d483a748d9461f1c0d98faf291fe628e4ffbea465d4f9f85d41b69a53e27658
1,confirmation,1.0,0.005,8,426092308,426192308,59abb0696625a5f8dbffc91200698586c49d74d1e48a6f6c504aa6578bc6e3ec
1,confirmation,1.0,0.01,8,426092308,426192308,3ae6585cd8a6286cfe0541b1228e766ad7ae021dc3e22838ed2a742744af525a
1,confirmation,1.0,0.02,8,426092308,426192308,f7d4053980f35e3f7075a76ef844f2981a72284a28e7ce8b203b372a7c20e3fd
1,confirmation,1.0,0.005,9,426092309,426192309,551498b7e4caef13f160578086dc73e45ed127bf12678c80baa0591818d5b628
1,confirmation,1.0,0.01,9,426092309,426192309,ec7ee01678dd5a01c0205a4552ade106f49b308006c3f95a21a4b75843f48696
1,confirmation,1.0,0.02,9,426092309,426192309,a68e1a4e189f6cfa9a0ea0b4400e43a0a437a89aea5521b2c1f7b764ba1d7fca
1,confirmation,1.0,0.005,10,426092310,426192310,3093134a1fba32f8817ab28a8ac3d319e2957a50bc277e9f229065331128a4e0
1,confirmation,1.0,0.01,10,426092310,426192310,159dfa6a0a665831d1d98ccbd8dc3db15548528800d2d2d25c8d96e2a1da7427
1,confirmation,1.0,0.02,10,426092310,426192310,5c62931c4cd7aca43d6cd3a5f9939c0e7f4900442462ea7d272331b89ffe1915
1,confirmation,1.0,0.005,11,426092311,426192311,5f68a9a5bbdaf848b6874783a5ae12d0030f04c71c8ff828b0b5bdf646e301ab
1,confirmation,1.0,0.01,11,426092311,426192311,5d271303c02d6ff70280bf8f01ce552bb5907baf7b03986acf829d7a3e63b03b
1,confirmation,1.0,0.02,11,426092311,426192311,0165b7a399fcb6abb490ddd1807cbaaeccb9e4515a974e4a630dcfed38321cdd
1,confirmation,1.0,0.005,12,426092312,426192312,23dad7858de6d0d51f180278221efb0b47cac6d28f20bd4b25b8e70592647e22
1,confirmation,1.0,0.01,12,426092312,426192312,6c7455a3ddfc3d70068b2d355fd93f11d279d51e79b24a9dbbf4e8164ec9719e
1,confirmation,1.0,0.02,12,426092312,426192312,7ee8b4a13a2d4a07d7d4db658840392311c43d7cc0f5a43a640299228c474405
1,confirmation,1.0,0.005,13,426092313,426192313,834c14bc1fb91b9ec7de3ea7babf5ff2ff353ec87783dc176983b513a0f6e25f
1,confirmation,1.0,0.01,13,426092313,426192313,b0ee6063f57617ec786588138f2497f3a71ab57d3d3b2fb8cdd4bb12246146cd
1,confirmation,1.0,0.02,13,426092313,426192313,8f511632f49a1505063dc9238a5b4a4d26bd93898524001f1ce3459e53eb8337
1,confirmation,1.0,0.005,14,426092314,426192314,9da924994bbf153123b3a6d51d047251209fa000eaef693af5f51eec3a0c6828
1,confirmation,1.0,0.01,14,426092314,426192314,64390b8c5c7ae041cfdde3126da19f55a4e82e1c063b4e518bf0d90d2d7f56fd
1,confirmation,1.0,0.02,14,426092314,426192314,bc1885fea74d0a453d6dd4d5b86a8da0f0c6977d49bcdfbbde1d255785d16cd3
1,confirmation,1.0,0.005,15,426092315,426192315,1f9453f49c57d5b912cd104a6d6afc8c26e206be4ef48fd7e514052e3ecbd72a
1,confirmation,1.0,0.01,15,426092315,426192315,cfb8a95a3a1b3831e82bc6834f5ea929aea1a1579339fefc1f3491221f460881
1,confirmation,1.0,0.02,15,426092315,426192315,79913528bb0279b033ca32c0ddd03faaef79a8e2976d21e7db89fbd7d2238b95
1,confirmation,1.0,0.005,16,426092316,426192316,d241fe67d066053d7923be49091ef2036238995e0744b1c6ef34a63d499eaa60
1,confirmation,1.0,0.01,16,426092316,426192316,0d9eba749e66413f2c2fd3652672acae3865b8b1144a30f3ffedc40cafa4fc61
1,confirmation,1.0,0.02,16,426092316,426192316,222b525be1849dd682f79a103ebb7faca6101d5e26e7c0d12665180fd8ae4b87
1,confirmation,1.0,0.005,17,426092317,426192317,34b2922663ad5031b15b291300bdcfef1f77a064e32114e7a66d4f3df20ad111
1,confirmation,1.0,0.01,17,426092317,426192317,37f00096322076f2a927da1f99ec94d9d7989a67062a1df271a41c0744620bf6
1,confirmation,1.0,0.02,17,426092317,426192317,c2efdc24ec1be2f8bab65becdb04872a69a1b44ad6271a925a411ada94ec147f
1,confirmation,1.0,0.005,18,426092318,426192318,040a6c7f4d4b5d12dbbb511f039405bcb0f66abea0d3a002087c09d9c8e380d8
1,confirmation,1.0,0.01,18,426092318,426192318,77e12bcff23a4300de7cabdffb56142a98168f4b9cb191969544b95804db6d1e
1,confirmation,1.0,0.02,18,426092318,426192318,28a9296294afa07f41ba3a07b91d5de655719eae251ff59d23fbc81f3da4afde
1,confirmation,1.0,0.005,19,426092319,426192319,78caa80de0c15424c9e56a3cbb200105ec69ed32ec212f3c509379485c1ae93e
1,confirmation,1.0,0.01,19,426092319,426192319,2b643ba7bb8a012d35ee747d53e1a45c2b02a96b0948a2623f3dbf4cf04b726b
1,confirmation,1.0,0.02,19,426092319,426192319,254673347fce5a1f399bdf2568c211a495583ba736e6fae62e740b7ef4bb903c
1,confirmation,1.0,0.005,20,426092320,426192320,1dbce25ee15940390d5709139a443e867d3c3f39deced0a906f0e58be50fb78d
1,confirmation,1.0,0.01,20,426092320,426192320,71bc2b118a160c70d5c90e743e6788b6f9a1ab60c3d299f9ba05362d521d8749
1,confirmation,1.0,0.02,20,426092320,426192320,63634f250f73be35781f9c993d2bff42f2931e1efa5a824ddf2776dae448c0a0
1,confirmation,1.15,0.005,1,426092301,426192301,8dc343eccc6c1b3ffc167664e05eadff0539d59e50d99253d20e0e86b07c4950
1,confirmation,1.15,0.01,1,426092301,426192301,809be4b193637e92871269d75ae1230e061cba7c83a4b71f7924a2f7f8e47ebe
1,confirmation,1.15,0.02,1,426092301,426192301,6dd799cabd21a3c87385da927e2c311532248332310c454220a5564dff143756
1,confirmation,1.15,0.005,2,426092302,426192302,3d47253a35fe90afe68807dcdddca6a8f9deaa80fd8db5c59edb50576070c864
1,confirmation,1.15,0.01,2,426092302,426192302,c7e1910e44507f2766af5cb928f8c56a38f80536a50506a9668ef9f55889d56d
1,confirmation,1.15,0.02,2,426092302,426192302,cbd3b3a91bc891359df8e4750f147d72c7a6267d314e3873183069dba34d37cf
1,confirmation,1.15,0.005,3,426092303,426192303,7bafaed75cecac32bc7bea89381b011c7baa07a4965264d499b43c5ccebc55e1
1,confirmation,1.15,0.01,3,426092303,426192303,705ec3a8b45a6dde4c019c1b8fff3fd931f69bb61d592c8793a39ac2e6ce0ec1
1,confirmation,1.15,0.02,3,426092303,426192303,f07b4113859afad349865eaad7d4587156b32bac6ff38b9eee481b865eb6d0c6
1,confirmation,1.15,0.005,4,426092304,426192304,54e0ec135ac47dcd08638586ebab82524847cd78107a510498e7f904a01a12d6
1,confirmation,1.15,0.01,4,426092304,426192304,93ab3cd9160d3fc04b33eb9e9379d883412771edb371b36506667caffd2d1456
1,confirmation,1.15,0.02,4,426092304,426192304,a628dbe3dc3cefe10a3857e1f8f738711525fddd8e64f594e4f13f0203d0058a
1,confirmation,1.15,0.005,5,426092305,426192305,0bda021972f6672a5cf120b828677461362e659d9e1ed0a458f32c48e06652cc
1,confirmation,1.15,0.01,5,426092305,426192305,4c858bbda46a6d0ecfcf88f0cf873ebe5653f3baf4502e7a6c8aefd7d492a25f
1,confirmation,1.15,0.02,5,426092305,426192305,fad544650948c4a23efb151665280027bf14a680c6537312f244e2cb8af1d364
1,confirmation,1.15,0.005,6,426092306,426192306,ca47c4b31190366241c23337b5157bfd40a0591604d40c51b36d384b368dc9c7
1,confirmation,1.15,0.01,6,426092306,426192306,1fe92f713a2001fa0ff7a02adf9f2ebe881ab73c20b77b0f05eb13df6f65af09
1,confirmation,1.15,0.02,6,426092306,426192306,97a528fc6a5040bbc414816510f46d73f8959146d3578809a0b40b362df39648
1,confirmation,1.15,0.005,7,426092307,426192307,b3b003a67f20af8e717cb22a1fabd1ec77a77d0b746f97767d440a0c00341c36
1,confirmation,1.15,0.01,7,426092307,426192307,073b53ca3ce4bde1eb4abdc75b00d1e4ab56329e569183486e08d9911c7c456f
1,confirmation,1.15,0.02,7,426092307,426192307,00259be2ffc210935cc029bc71e92255868ab44c48dc41a774099004a31d7bc6
1,confirmation,1.15,0.005,8,426092308,426192308,a65866859adcdc1b8cf2ac2006c7cb12cf01929315547566dd653883ec132284
1,confirmation,1.15,0.01,8,426092308,426192308,cce0b4cd7a02dc406465be93f73b7f6077c829ba44391606f88ddf9551909932
1,confirmation,1.15,0.02,8,426092308,426192308,cf03547357b6c33f430d11580cfbc877a7d5682ff16a19f1193c31bb3c7c860d
1,confirmation,1.15,0.005,9,426092309,426192309,f67dad81595b7f277c6b999c2d8e8b464d3f00ad9394fea1e60b0132fd7ff059
1,confirmation,1.15,0.01,9,426092309,426192309,095a966d780323829cd690fcf8778e783dc1c75e1fddd1561f1a12da3d52caed
1,confirmation,1.15,0.02,9,426092309,426192309,1656669982bdcbc3cd776135e631fa4c51126355d58215b278716087561a4f3e
1,confirmation,1.15,0.005,10,426092310,426192310,d44e36c9f9d964a46fc8ce3a30e53af1833416c6c4a3efe6af5fab1f994f453e
1,confirmation,1.15,0.01,10,426092310,426192310,e2d827935a59509743eaaad2c6151ac9ea9b6754655cc322c28c8efd7a1af0bc
1,confirmation,1.15,0.02,10,426092310,426192310,2e4b4567287ce02a54e4d45f525e197c67a3e82bb8b4b9c328b314dc8122c278
1,confirmation,1.15,0.005,11,426092311,426192311,b9bc62f83be59ca82265399fb9f7c58055b3ba43182043e34d45334faa6f291d
1,confirmation,1.15,0.01,11,426092311,426192311,c095ab198f58474ddc0abe6f427c0a5240734942bfdf21ffc31cfcb1c9f42f55
1,confirmation,1.15,0.02,11,426092311,426192311,4403f97d49fe5f2f56887e583521b9d4b8665598a75536055b76bb8e5a917c59
1,confirmation,1.15,0.005,12,426092312,426192312,8edaa1d8ceb5a97606e56e35bff313be4a102609f0301ab4ab66de411f40bc4d
1,confirmation,1.15,0.01,12,426092312,426192312,4c5cc8e3b6c68c0f1a029a40c600770de92e10654452b967ac0628c3f8237128
1,confirmation,1.15,0.02,12,426092312,426192312,6196c3b83233b001cd2973927fbcf22bcf1871714df0bc6637295d3016ec3174
1,confirmation,1.15,0.005,13,426092313,426192313,f767708e66211ade5f0362074b0070e3fb64a6271ac0686a4b220ad6bfb6164a
1,confirmation,1.15,0.01,13,426092313,426192313,0a465d15b4feb035ab8ffd3abab01180ff8b0a648e6977b4c3996a63a48ba336
1,confirmation,1.15,0.02,13,426092313,426192313,8a95df7b249cae650b5d6b97cf71425d0a9f633d504dbd2af86e3171494d1f5f
1,confirmation,1.15,0.005,14,426092314,426192314,3bb25b4bede325191186c05db9abf3080c13d6b76c285031396e4045eff7f832
1,confirmation,1.15,0.01,14,426092314,426192314,d8fb9b488d0af8c97a7fa2a074de02271730be7637a5a40da52d83536c46cc5e
1,confirmation,1.15,0.02,14,426092314,426192314,9e7ea6a36bfd7018e50d6f72495d591d43e959982be77b2818097164f6ece2bf
1,confirmation,1.15,0.005,15,426092315,426192315,e2f34ddc11f47bfab77124d1136f8a0c5a17239dc1faff6f91e1129a89a49027
1,confirmation,1.15,0.01,15,426092315,426192315,459dd6680c3d238db0789a613e2b99cf7874b1d34f658846bb9c63085887822e
1,confirmation,1.15,0.02,15,426092315,426192315,bc803d98a92852aeaefaac8c678adc3bca3eef08d18a4329917c65e8799c06cc
1,confirmation,1.15,0.005,16,426092316,426192316,25d0027cf1e18491f82363b4743c482491e386cc37d52dc704530a6ad8d773be
1,confirmation,1.15,0.01,16,426092316,426192316,dadd96a8ebc871135aac50686d17bacc190947b672105402a49ac07e0d8f63d9
1,confirmation,1.15,0.02,16,426092316,426192316,2585e74802d8d2c9d6d8ae365e4bc85e0b08b2d147c0ec95bd27055bd40d5e46
1,confirmation,1.15,0.005,17,426092317,426192317,94af53c2cde40a1d6f25c82b651a2ebc2e7da0c5aa2bb37bd5d9eeb5f2504812
1,confirmation,1.15,0.01,17,426092317,426192317,4c02edc636102c205f30599c4e5c434c9b0290f05efa43ace34788be75c2f251
1,confirmation,1.15,0.02,17,426092317,426192317,d2270465dfc265d4aa35f4cc0cd4ec153209dfe6b9e240f4c77f20cb90fd0872
1,confirmation,1.15,0.005,18,426092318,426192318,6d51a949163296dd048812e7fa20734a717b1647302ad3b03dfb0b3de34ce684
1,confirmation,1.15,0.01,18,426092318,426192318,203336ba87ec2c5c3c284ac5ef60c467c552ddc7418f814dd4f11d857169bb08
1,confirmation,1.15,0.02,18,426092318,426192318,10ba4dd9a2bd8d89cc921c932b5f1f3bd54716e699e69b73470f9d7c8f93dc18
1,confirmation,1.15,0.005,19,426092319,426192319,74730e18f2ed1953045572bc5cbc18313070031530108ee285ad55498cf128bc
1,confirmation,1.15,0.01,19,426092319,426192319,0b8261c9c69f85b1ab97dc6a21aa006450597f77c293fdedfa281be3436353a2
1,confirmation,1.15,0.02,19,426092319,426192319,eb4bcc409a22b23f6887a81771da48aad0e584df1c4fb3e4e3bfc8e149699f75
1,confirmation,1.15,0.005,20,426092320,426192320,849a928220dc8594e922fd8538860e6994244677a2dafa7370b7575073cc9d46
1,confirmation,1.15,0.01,20,426092320,426192320,1826eded60802db39dc53739bd366aae487b9909119298b7e23034f2cc004623
1,confirmation,1.15,0.02,20,426092320,426192320,1fd7c75b465c1fec4260a90171d52d96fd37601082779139996387a4d569238d
1,confirmation,1.3,0.005,1,426092301,426192301,e8883c12a444332a9fc978eff00efffa520ef307b3407a3a0124be9b9d7ca58a
1,confirmation,1.3,0.01,1,426092301,426192301,6b1a4d27558ba0474bab2bba9793265beb5f91d003a659b5099cc6157660b519
1,confirmation,1.3,0.02,1,426092301,426192301,5c33acd2dc4c7996b82800508b219392d5e674465607692163ebfcdd2084922d
1,confirmation,1.3,0.005,2,426092302,426192302,cfeab112f43a1d3c36648a480e3aac437f23298db3d99a65607d6f5d0253180f
1,confirmation,1.3,0.01,2,426092302,426192302,aef3f28df1e9019e0d09c5677cb5ff2ca32e232b889a48e2a9eab117de9b8538
1,confirmation,1.3,0.02,2,426092302,426192302,911a38280ef506da0f4ace59b3a710b9491929233070e58660f3ed94bfd76a2a
1,confirmation,1.3,0.005,3,426092303,426192303,a37fc80a36ceaab8b74dcc7bd7936c2a64d17da78e9108623e44c53abaf7a4a4
1,confirmation,1.3,0.01,3,426092303,426192303,5f861edee1efc382c03e566658d7924a26e7096a9b0de67a5005fb087893b2e0
1,confirmation,1.3,0.02,3,426092303,426192303,b7fa47d47da6eeee1890906563ba40a1d2fd786bd21c426690477d49f2b37bea
1,confirmation,1.3,0.005,4,426092304,426192304,85338c3197d15768c66641ca46d47fc58f7a6151fa33be7d2c832a8e34ddf9fa
1,confirmation,1.3,0.01,4,426092304,426192304,85b6f3ad1302e1eb7ab247fe3461e4e19da067e4d5d7a5fa8c031de5253c584b
1,confirmation,1.3,0.02,4,426092304,426192304,a04041e6380aabc8f3561719bb3862a315dc7c7959bf0dae77ffb033e35ff32f
1,confirmation,1.3,0.005,5,426092305,426192305,b2d96a1b922bd7299a81b040113f13c003758d386ced7378cea8895721b559de
1,confirmation,1.3,0.01,5,426092305,426192305,1046739602405bf866001f7e0f634b516214f6a9d4d50699bb1d137d84dec85e
1,confirmation,1.3,0.02,5,426092305,426192305,8a8effd884279c8cc375710496d9de90ac411836dc86702cae860309097041e5
1,confirmation,1.3,0.005,6,426092306,426192306,ee663856372ec0010d6e8758129129e8250b77e0aa338a6986d077cc093dd478
1,confirmation,1.3,0.01,6,426092306,426192306,3f9869713b19b01e7643ab730bbd0fec96f48acf43a41ab9b9edb1ed7510f54c
1,confirmation,1.3,0.02,6,426092306,426192306,c431ef8883482c3514c11026fd5c1452baad97b5b41fb16bbfc0810a62df3370
1,confirmation,1.3,0.005,7,426092307,426192307,d1c71ac3cf173001a293c5dc1c757d73242c105c32b7ad8ab69f8af1b9f8f85c
1,confirmation,1.3,0.01,7,426092307,426192307,e05000719321afd4da8b61f7dee200ec3b96fb8881b86e89b1507aeed18fa25c
1,confirmation,1.3,0.02,7,426092307,426192307,d2c99ed74d731ba859a7fca2c08c8bf437ee745e3410812a72321d3f6eb20fa8
1,confirmation,1.3,0.005,8,426092308,426192308,945d0cf5f02429010c1849f7d8fb26d86a8518830a790ccdc92e77ed24ec3281
1,confirmation,1.3,0.01,8,426092308,426192308,a6693d32de8b19f81ea54e605ff5dd8e56c9e6b2311d274a668bcc3e3bea47b0
1,confirmation,1.3,0.02,8,426092308,426192308,fece04b426c315d593caeb91beb7c096da45bdf56189fe421db72648c984e283
1,confirmation,1.3,0.005,9,426092309,426192309,cddc4cf04ac40a900efcc5bac3e5a01ea512bcc518ae4995811095211b5c28ae
1,confirmation,1.3,0.01,9,426092309,426192309,00a93c82d7159908674ecbe8d4cb4d8cfc2cb13d7b59ae6c94df87c0d03fdfad
